-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
385,"Data Research Scientist, Center for Population Health Sciences and Health Equity",$69K - $132K (Employer est.),"Utilize comprehensive knowledge of analytical mythologies, techniques and tools to complete a variety of studies and work assignments with background in data……
Skills: Statistics, Data science",4,George Washington University,Foggy Bottom,1001 to 5000 Employees,1821,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
386,Strategic Risk Data Scientist II,-1,"Perform sophisticated analytics (statistical and predictive analytics, machine learning modeling, etc) to provide actionable insights that improve business……
Skills: Microsoft Powerpoint, Statistics, Microsoft Excel, Data mining, SAS",3.2,Truist Bank,"Charlotte, NC",10000+ Employees,2019,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
387,"Senior Data Scientist, Global Search",$175K - $234K (Glassdoor est.),"Keen interest in the internet industry with a desire for long-term development within the field. Offer directional analysis guidance to the search business,……
Skills: Management, R, Data analysis skills, SQL, Machine learning",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
388,Senior Principal Clinical Data Scientist,$121K - $172K (Glassdoor est.),"Bachelor of Science (BSc) from an accredited institution in Statistics, Mathematics, Computer Science or related field (Psychology, Data Science, Finance, etc.)……
Skills: English, Clinical trials, Agile, Data science, Project leadership",4.2,"BI Pharmaceuticals, Inc.","Ridgefield, CT",1001 to 5000 Employees,1885,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
389,Principal Statistician,$118K - $156K (Glassdoor est.),"Provide SDS support to experimental design, modeling, analysis planning, analysis execution, interpretation, and statistical communications.…
Skills: Clinical trials, Research & development",4.2,Johnson & Johnson,"Spring House, PA",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
390,Principal Applied AI/ML Manager,$138K - $294K (Employer est.),"This role demands deep technical innovation and collaboration across Microsoft research and CXP product and business teams to forge novel methods, tools, and……
Skills: TensorFlow, Statistics, Management, Google Cloud Platform, Research",4.2,Microsoft,"Atlanta, GA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
391,Data Scientist,-1,"Drive, design, and develop projects as the principal point-of-contact, with the ability to determine suitable ML models, direct feature engineering processes……
Skills: Lucene, Statistics, Elasticsearch, Data modeling, Kubernetes",3.1,Bloomberg BNA,"Arlington, VA",1001 to 5000 Employees,1929,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD)
392,Senior Scientist Research Computing - Data Scientist (Biomedical and Clinical Informatics),$108K - $158K (Employer est.),"In partnership with the research community and other biomedical and clinical informatics specialists, the successful candidate will manage and analyze data……
Skills: TensorFlow, SAS, Software deployment, R, Data analysis skills",4.1,Rutgers University,"Piscataway, NJ",10000+ Employees,1766,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
393,"2025 Quantitative Analytics Development Program, Risk Analytics & Decision Science (Master's) - Early Careers",-1,"The Risk Analytics & Decision Science track deals with statistical, econometric, and machine learning/AI models for a variety of applications, including loss……
Skills: Microsoft Powerpoint, Microsoft Word, Statistical software, Microsoft Excel, Microsoft Outlook",3.6,Wells Fargo,"Charlotte, NC",10000+ Employees,1852,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
394,Applied Machine Learning Researcher,$130K - $150K (Employer est.),"Working with ML and data engineers to design, build, and maintain datasets for training and evaluating AI/ML algorithms, tools, and products.…
Skills: Application development, Machine learning, AI, Python",4.2,Latham & Watkins LLP,"Los Angeles, CA",1001 to 5000 Employees,1972,Company - Private,Legal,Legal,$1 to $5 billion (USD)
395,"Data Scientist | NLP, ML Models, AI Algorithms | Top Secret or TS/SCI | Washington DC",$89K - $148K (Employer est.),"Experience presenting to clients or other decision makers to present and sell ideas to various audiences (technical and non-technical).…
Skills: R, Presentation skills, C, Machine learning, Natural language processing",4,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
396,Oceanography Data Science Research Specialist,$85K - $103K (Employer est.),"The Researcher applies computational, computer science, data science, and CI software research and development principles, with relevant domain science……
Skills: Management, Continuous integration, Software development, Counterintelligence, UI",4.2,UC San Diego,"San Diego, CA",10000+ Employees,1960,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
397,Principal - Data Scientist - Credit Card Quantitative Modeling,$145K - $180K (Employer est.),"End-to-end ownership of the model development process: business problem understanding, conceptual model design, data exploration, model build and validation,……
Skills: SAS, SQL, Data analytics, Communication skills, Python",3.8,Ally Financial,"Wilmington, DE",10000+ Employees,1919,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
398,"Manager, Clinical Data Scientist, Clinical Data Sciences",$84K - $156K (Employer est.),"Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF,……
Skills: Microsoft Access, Oracle, Clinical research, Relational databases, Microsoft SQL Server",3.9,Pfizer,"Bothell, WA",Unknown,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
399,"Manager, Data Science (Core)",$285K - $321K (Employer est.),"Own the technical vision and direction for your data science team (directly manage 5+ data scientists, with opportunities for team growth in the future).…
Skills: Statistics, Management, R, SQL, A/B testing",3.9,"Grammarly, Inc.",United States,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
400,"Staff Software Engineer, Machine Learning, YouTube",$189K - $284K (Employer est.),"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking……
Skills: TensorFlow, Data structures, Machine learning, Distributed systems, Natural language processing",4.4,YouTube,"San Bruno, CA",1001 to 5000 Employees,2005,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable
401,Senior Supply Chain Data Analyst,-1,"The Senior Analyst will also consult with Supply Chain users on the design, development, and implementation of analysis techniques and data mining.…
Skills: Microsoft Excel, Data mining, Data analysis skills, Research, Microsoft Office",3.7,Mass General Brigham,"Somerville, MA",1001 to 5000 Employees,1994,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
402,Principal Data Scientist,$178K - $233K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: Live chat, R, Tableau, SQL, Analysis skills",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable
403,Applied AI ML- Vice President,$147K - $260K (Employer est.),"Develop state-of-the art machine learning models to solve real-world problems and apply it to tasks such as NLP, speech recognition and analytics, or……
Skills: Machine learning, Product management, Continuous integration, Natural language processing, Clustering",4,JPMorgan Chase & Co,"New York, NY",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
404,"(USA) Senior, Data Scientist (Computer Vision Engineer)",$108K - $216K (Employer est.),"Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience……
Skills: Web accessibility, TensorFlow, Computer science, Computer vision, Spark",3.4,Walmart,"Hoboken, NJ",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
405,Senior Professional Data Analyst,$69K - $99K (Employer est.),"Reviews and edits data requirements and documents according to required standards by utilizing prescribed tools and methods to ensure that design and……
Skills: Authentication, Statistical software, Operating systems, Management, Relational databases",3.1,Gainwell Technologies LLC,Illinois,10000+ Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
406,Sr. Data Analyst - Data Scientist,$91K - $127K (Glassdoor est.),"In addition, the Data Analyst-Data Scientist will be responsible for using applied statistics to develop solutions, data mining, data analysis, data……
Skills: Statistics, Computer science, Data mining, SAS, Statistical analysis",4.5,Assurety Consulting Inc,"Washington, DC",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
407,Senior Data Scientist,-1,"Bachelor’s degree in Computer Science or related technical field plus 4 years experience, or Masters Degree in Computer Science with 2 years experience.…
Skills: TensorFlow, Computer science, Spark, Machine learning, Technical writing",3.8,Absolute Business Solutions Corp,Remote,51 to 200 Employees,2001,Company - Private,National Agencies,Government & Public Administration,$5 to $25 million (USD)
408,Senior Data Scientist – Underwriting Innovation & Product Analytics (Remote),$140K - $189K (Employer est.),"Education : Advanced degree (Master's degree or PhD) in Data Science or a related quantitative field, or relevant certifications in data science (e.g., AWS……
Skills: CI/CD, Computer science, Management, Business intelligence, Big data",3.6,Thrivent,Remote,5001 to 10000 Employees,1902,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD)
409,Principal Data Scientist,$138K - $294K (Employer est.),"Leverages expert-level proficiency of big-data software engineering concepts, such as Hadoop Ecosystem, Apache Spark, continuous integration and continuous……
Skills: CI/CD, Sales, Spark, Data analysis skills, Research",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
410,Principal Data Scientist (US-Remote),$158K - $243K (Employer est.),"Master’s degree or PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, Physics, etc.).…
Skills: TensorFlow, Statistics, Azure, Computer vision, Spark",4.1,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
411,"Senior Data Scientist / Credit Risk, Global Risk Decision Science",$113K - $150K (Employer est.),"Solid understanding of credit risk-drivers in small and medium sized businesses, public firms, and private firms, including data typically used in credit risk……
Skills: CI/CD, Management, R, SQL, AWS",3.6,WEX Inc.,Remote,1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
412,Global Supply Chain Data Scientist,$94K - $127K (Glassdoor est.),"Experience with business intelligence tools or other data mining tools experience a plus. The primary objective of the Global Supply Chain COE is to be the……
Skills: Power BI, Data mining, Business intelligence, Data analysis skills, Analysis skills",3.7,Tennant Company,"Eden Prairie, MN",1001 to 5000 Employees,1870,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD)
413,"Applied Scientist, Modeling and Optimization (MOP)",$129K - $213K (Employer est.),"Advanced degree in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent……
Skills: Java, C++, C, Machine learning, Perl",3.7,Amazon.com Services LLC,"Bellevue, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
414,Senior Data Scientist I,$116K - $194K (Employer est.),"A master’s in Statistics, Computer Science, Math, Physics or a related field. Excellent communication and collaboration skills to influence both technical and……
Skills: Computer science, Data modeling, Signal processing, Enterprise software, Spark",3.7,FIS Global,"Seattle, WA",10000+ Employees,1968,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD)
415,Senior Data Scientist,$173K - $243K (Employer est.),"Excellent logical thinking, a very strong background (Bachelor’s/Master’s degree) in a quantitative field such as mathematics, statistics, physics, engineering,……
Skills: Data mining, R, Statistical analysis, Machine learning, Scala",3.8,Expedia Partner Solutions,"Austin, TX",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
416,"Staff, Data Scientist: Computer vision",$143K - $264K (Employer est.),"Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 4 years' experience……
Skills: Web accessibility, TensorFlow, Computer science, Computer vision, Spark",4.3,Store No. 8,"Hoboken, NJ",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
417,"Senior Data Scientist, TikTok Risk Issues - San Jose",-1,"Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks.…
Skills: R, SQL, Machine learning, Software development, Data science",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
418,"Sr. Data Scientist, Innovation",$135K - $180K (Employer est.),"Develop and implement solutions leveraging large language models and other advanced AI techniques to tackle complex problems, such as natural language……
Skills: TensorFlow, Azure, Big data, Mobile applications, R",3.6,WEX Inc.,Remote,1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
419,"Generative AI Applied Scientist, Enterprise Systems",$135K - $251K (Employer est.),"M.S. or PhD in Electrical Engineering/Computer Science, or a related field (mathematics, physics, statistics or computer engineering) preferred.…
Skills: Statistics, Analysis skills, Presentation skills, Product development, Machine learning",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
420,Senior Data Scientist,$117K - $229K (Employer est.),"Bachelor's Degree in Computer Science or related technical field AND 8+ years technical engineering experience with coding in languages including, but not……
Skills: C#, Java, C++, C, JavaScript",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
421,Lead Data Scientist,$136K - $268K (Employer est.),"Collaborates with business partners to develop technical /business approaches and new or enhanced technical tools. 6+Experience programming using R or Python.…
Skills: Computer science, SAS, R, SQL, Statistical analysis",3.1,CVS Health,"Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
422,Principal Clinical Data Scientist - Focus on Statistics 1,$95K - $149K (Glassdoor est.),"Bachelor of Science (BSc) from an accredited institution in Statistics, Mathematics, Computer Science or related field (Psychology, Data Science, Finance, etc.)……
Skills: Clinical research, English, Clinical trials, Data science, Project leadership",4.2,"BI Pharmaceuticals, Inc.","Ridgefield, CT",1001 to 5000 Employees,1885,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
423,Senior Machine Learning Engineer,$172K - $246K (Employer est.),"You have experience with agile software processes and modular code design following industry standards. Experience with tools like TensorFlow or PyTorch.…
Skills: TensorFlow, Java, Machine learning, Agile, A/B testing",4,Spotify,"Boston, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
424,"Sr Staff ML Engineer, Inclusive AI",$205K - $422K (Employer est.),"Collaborate with other engineering teams (infra. user modeling, content understanding) to leverage their platforms and signals and work with them to collaborate……
Skills: Machine learning, AI, Leadership",4,Pinterest,Remote,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
425,"Senior Data Scientist, Growth",$150K - $207K (Employer est.),"Upstart’s Machine Learning, Growth Partnerships team builds models used to target marketing campaigns and make loan offers on partner websites such as Credit……
Skills: R, Data analysis skills, SQL, Machine learning, Regression analysis",3.5,"Upstart Network, Inc.",Remote,1001 to 5000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable
426,Program Specialist - Applied Biomedical Data Sciences (St. Jude Graduate School),$60K - $105K (Employer est.),"In recognition of certain U.S. state and municipal pay transparency laws, St. 1+ years in program coordination and/or project management with a bachelor’s……
Skills: Statistics, Management, Project management, Data science, LMS",4.5,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
427,Staff Data Scientist - Risk,$21K - $312K (Employer est.),"A bachelor degree in statistics, data science, or similar STEM field with 12+ years of experience in a relevant role OR. Paid parental and caregiving leave.…
Skills: Statistics, R, Data analysis skills, Tableau, SQL",3.7,Cash App,"San Francisco, CA",1001 to 5000 Employees,2013,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
428,Lead Data Scientist – Machine Learning Computer Vision,$113K - $145K (Glassdoor est.),"You will drive the research, development, and implementation of state-of-the-art computer vision algorithms and techniques to solve complex problems and deliver……
Skills: Computer vision, Software deployment, AWS, Machine learning, Team management",3.5,IDEXX,"Frisco, TX",10000+ Employees,1983,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
429,Senior Machine Learning Scientist (Discovery),$134K - $200K (Employer est.),"Passion for driving impact in the field of online education through innovative ML and search science techniques.…
Skills: TensorFlow, Git, Machine learning, Deep learning, Natural language processing",3.6,Coursera,United States,501 to 1000 Employees,2012,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable
430,Computational Scientist - Artificial Intelligence & Machine Learning,$72K - $128K (Glassdoor est.),"Evaluates past and present technologies to help develop new tools. Ph.D. in computer science, computer engineering, data science, or similar.…
Skills: TensorFlow, MATLAB, Computer vision, R, Git",4.1,The University of Chicago,"Chicago, IL",10000+ Employees,1890,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
431,Statistician: Mid-Senior level,-1,"Collaborate in the writing of the statistical section of the protocol (if asked to) stating the hypothesis, defining the planned analysis, primary and secondary……
Skills: Statistical software, Statistics, Clinical research, Biostatistics, SAS",-1,Valos,Remote,1 to 50 Employees,2002,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
432,Actuarial Data Scientist [Remote-US],$184K - $250K (Employer est.),"Initiate the ideation and development of new product offerings, with the potential for direct involvement and ownership of analysis, technical design, and……
Skills: Pricing, Underwriting, Relational databases, Tableau, SQL",4.3,Quanata,"San Francisco, CA",51 to 200 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
433,"(USA) Principal, Data Scientist",$110K - $220K (Employer est.),"Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 5 years' experience……
Skills: Web accessibility, TensorFlow, Power BI, Microsoft Excel, Calculus",3.4,Walmart,"Bentonville, AR",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
434,Quantitative Analytics Senior - Data Scientist (Hybrid - 3 Days in Office),$118K - $178K (Employer est.),"Qualifying coursework may include—but is not limited to—data science, statistics, machine learning, optimization, numerical analysis, scientific programming,……
Skills: MATLAB, Data mining, SAS, Relational databases, Big data",3.6,Freddie Mac,"McLean, VA",5001 to 10000 Employees,1970,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
435,"ML Data Scientist - Forecasting (Consumer Analytics), Ad Platforms",$113K - $167K (Glassdoor est.),"6+ years of recent experience in data science or machine learning role, within digital advertising industry or related field.…
Skills: Spark, SQL, AWS, Machine learning, Regression analysis",4.1,Apple,"Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
436,Senior Data Scientist (Hybrid),$117K - $130K (Employer est.),"You will work with cross-functional teams to develop and implement advanced forecasting methodologies. Your team members are other data scientists and engineers……
Skills: ArcGIS, Cloud architecture, Spark, SQL, Forecasting",3.6,EVERSOURCE,"Manchester, NH",5001 to 10000 Employees,1966,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
437,Senior Product Manager- AI Software,$137K - $211K (Employer est.),"Master’s degree candidate in data science, computer science, computer engineering, AI/ML, or related field of engineering.…
Skills: Machine learning, Product management, User research, AI, Communication skills",4.1,Hewlett Packard,"Austin, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
438,Computer Vision and Machine Learning Research Scientist - Physiology,$143K - $264K (Employer est.),"Hands-on experience with applying both traditional CV models (for ex: optical flow, structure from motion, state estimation, feature descriptors, Eulerian……
Skills: TensorFlow, Computer science, MATLAB, Signal processing, Research",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
439,Principal Data Scientist,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics), or PhD in “STEM” field (Science, Technology, Engineering, or Mathematics).…
Skills: Relational databases, Spark, R, Data analysis skills, Databases",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
440,"Principal Associate, Data Scientist, Generative AI Systems (Genesis)",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM”or STEM……
Skills: Relational databases, R, Data analysis skills, Databases, SQL",3.9,Capital One,"New York, NY",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
441,Principal Data Scientist,$165K - $213K (Glassdoor est.),"Drive innovation by staying abreast of emerging data science tools, techniques, and best practices, and strategically incorporating them into Caris’ analysis……
Skills: Microsoft Word, Microsoft Excel, Microsoft Outlook, Microsoft Office, Project management",3,Caris Life Sciences,"Boston, MA",Unknown,--,Company - Private,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
442,"Senior Applied Scientist, ML_AI",$150K - $260K (Employer est.),"PhD in engineering, technology, computer science, machine learning, robotics, operations research, statistics, mathematics or equivalent quantitative field.…
Skills: Statistics, Data mining, Spark, Java, AWS",3.7,"Amazon Development Center U.S., Inc. - B02","Santa Clara, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
443,"Computational Research Scientist, Deep Learning",$68K - $127K (Glassdoor est.),"Ph.D. in Bioengineering, Biochemistry, Biostatistics, Chemical Engineering, Computer Science, or similar discipline, with 0-5 years of experience and a strong……
Skills: TensorFlow, Biotechnology, MATLAB, R, Analysis skills",-1,Manus,"Waltham, MA",Unknown,--,Unknown,--,--,Unknown / Non-Applicable
444,"Staff Machine Learning Engineer, Applied Science",$200K - $412K (Employer est.),"MS/PhD in Computer Science, ML, NLP, Statistics, Information Sciences or related field. You'll conduct research that can be applied across Pinterest engineering……
Skills: TensorFlow, Research, Java, C++, Machine learning",4,Pinterest,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
445,"Machine Learning Scientist-NLP-PDPD, San Jose",$145K - $250K (Employer est.),"The Machine Learning Scientist will lead and collaborate with cross-functional teams to design, develop, and deploy sophisticated machine learning algorithms to……
Skills: TensorFlow, Statistics, R, Java, SQL",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
446,Sr. Data Scientist,$111K - $211K (Employer est.),"Master and 6 years experience or Ph.D. in Computer Science, Machine Learning, Statistics, or a closely related field (strongly preferred).…
Skills: Big data, Data structures, R, Java, Analysis skills",3.7,Skyworks,"Irvine, CA",5001 to 10000 Employees,1962,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD)
447,Senior Data Scientist,-1,"Data analysis and data visualization skills, using tools like R, Python or BI tools. Experience with designing and implementing AI/ML models.…
Skills: TensorFlow, Pegasystems, R, Data analysis skills, Machine learning",3.9,Pegasystems,Massachusetts,5001 to 10000 Employees,1983,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
448,Expert AI/ML Applied Scientist - Generative AI ( Seattle & Bay Area),$185K - $404K (Employer est.),"SAP AI Product Engineering is responsible for designing central frameworks and cloud services such as Joule, Generative AI Hub, AI Core, and Document……
Skills: TensorFlow, Management, ERP systems, Machine learning, Deep learning",4.2,SAP,"Bellevue, WA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
449,"Senior, Data Scientist",$90K - $180K (Employer est.),"Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience……
Skills: Web accessibility, TensorFlow, Data mining, Spark, R",3.4,Walmart,"Bentonville, AR",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
450,Data Scientist,$91K - $152K (Glassdoor est.),"Provides technical support in the evaluation of prime object names, data elements, and other objects. Founded in 2010, Sev1Tech provides IT, engineering, and……",4.4,Sev1Tech,"Fort Belvoir, VA",501 to 1000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
451,Research Data Scientist (WHSC),$56K - $91K (Glassdoor est.),"They work collaboratively with stakeholders to develop innovative solutions that leverage data, AI and advanced analytics tools to solve clinical and……
Skills: Computer science, Research, Machine learning, Regression analysis, AI",4.1,Emory University,"Atlanta, GA",10000+ Employees,1974,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
452,Staff Data Scientist,$190K - $238K (Glassdoor est.),"Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team……
Skills: Data mining, R, Git, Apache Hive, Java",4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
453,Senior Data Scientist,$141K - $263K (Employer est.),"Hold a bachelor’s degree (or its equivalent) in computer-science/information-theory/language-technologies or a related field is required, and a Master or PhD is……
Skills: Management, Big data, Spark, R, Project coordination",3.3,Fortive,"Seattle, WA",10000+ Employees,2016,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD)
454,Research Data Scientist,$60K (Employer est.),"The successful candidate will play a crucial role in driving our research efforts in the fields of artificial intelligence (AI), machine learning, computational……
Skills: MATLAB, R, Research, Databases, Machine learning",3.6,TERASAKI INSITUTE FOR BIOMEDICAL INNOVATION,"Woodland Hills, CA",Unknown,--,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable
455,Associate Scientist: Microbiology: Data Review,$43K - $57K (Glassdoor est.),"We are not currently seeking computer science or IT-background applicants for these roles. Ensure that the client receives quality data by reviewing laboratory……
Skills: Laboratory experience",3.1,Eurofins USA BioPharma Services,"Lancaster, PA",10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
456,Principal Data Scientist,$154K - $200K (Employer est.),"Ability to effectively communicate data science progress to non-technical internal stakeholders and ability to lead a team of data scientists is a plus.…
Skills: Software deployment, SQL, Machine learning, Deep learning, Forecasting",4,Dell,"Round Rock, TX",10000+ Employees,1984,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
457,Principal Data Scientist,$150K - $200K (Employer est.),"Proficiency in programming languages and tools such as Python, SQL, and relevant data science libraries and frameworks.…
Skills: Azure, Big data, Spark, SQL, AWS",3.9,andros.co,Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
458,Senior Data Scientist (Hybrid or Remote),$83K - $145K (Glassdoor est.),"Subject matter expert for statistical processes and their implementation (ARIMA, regression, boosted models, decision trees/forest models etc.), and use of……
Skills: Computer science, Microsoft Excel, Business intelligence, R, Alteryx",3.6,Signet Jewelers,"Coppell, TX",10000+ Employees,1910,Company - Public,Other Retail Stores,Retail & Wholesale,$5 to $10 billion (USD)
459,Data Scientist,$106K - $154K (Glassdoor est.),"Bachelor's degree in quantitative or technical field of study (e.g., statistics, mathematics, computer science, physical science, quantitative social sciences).…
Skills: TensorFlow, Management, Tableau, AWS, Analysis skills",4,Praxis Engineering,"McLean, VA",201 to 500 Employees,2002,Subsidiary or Business Segment,Computer Hardware Development,Information Technology,$100 to $500 million (USD)
460,Quantitative Analytics Senior (Hybrid- 3 Days in Office),$118K - $178K (Employer est.),"Doctorate degree, or Master degree with 3 years of equivalent work experience, in statistics, economics or a related quantitative field.…
Skills: Statistics, SAS, Relational databases, Writing skills, R",3.6,Freddie Mac,"McLean, VA",5001 to 10000 Employees,1970,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
461,Lead Data Scientist,$97K - $234K (Employer est.),"Bachelor’s/Master’s degree in a quantitative field (such as Analytics, Statistics, Mathematics, Economics or Engineering) or equivalent field experience.…
Skills: Microsoft Excel, Data mining, Google Cloud Platform, Apache Hive, E-commerce",3.8,PayPal,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
